トラック, ユニット, 音階, 長さ, ベロシティ
1,0,C4,4,1
1,1,D4,4,1
1,2,E4,4,1
1,3,D4,4,1
1,4,C4,4,1
1,5,D4,4,1
1,6,E4,4,1
1,7,D4,4,1
0,0,R,4/7,1
0,1,E5,12,1
0,2,E5,12,1
0,3,E5,12,1
0,4,A5,4/5,1
